timestamp,battery_current,panel_current,current_difference
0.544,0.0,-0.07,-0.07
1.551,0.0,-0.07,-0.07
2.574,-0.07,-0.07,0.0
3.595,0.07,0.0,-0.07
4.621,-0.07,-0.07,0.0
5.621,-0.07,-0.15,-0.07999999999999999
6.652,0.0,-0.07,-0.07
7.664,0.07,-0.07,-0.14
8.682,0.0,0.0,0.0
9.699,0.0,-0.07,-0.07
10.710,0.07,0.0,-0.07
11.735,-0.07,-0.07,0.0
12.748,-0.07,-0.07,0.0
13.782,-0.07,-0.07,0.0
14.782,-0.07,0.07,0.14
15.808,-0.07,-0.07,0.0
16.833,0.0,-0.15,-0.15
17.834,-0.07,0.0,0.07
18.866,-0.07,0.07,0.14
19.886,0.0,-0.07,-0.07
20.886,-0.07,0.07,0.14
21.922,-0.07,0.0,0.07
22.938,-0.15,0.07,0.22
23.941,-0.07,0.0,0.07
24.974,0.07,0.0,-0.07
25.973,0.0,-0.07,-0.07
27.004,0.0,0.0,0.0
28.020,0.0,0.0,0.0
29.036,0.0,0.0,0.0
30.060,-0.07,0.0,0.07
31.074,0.0,0.0,0.0
32.092,0.07,-0.07,-0.14
33.112,0.07,0.0,-0.07
34.116,0.0,0.0,0.0
35.134,0.07,0.0,-0.07
36.167,-0.07,0.0,0.07
37.166,0.0,0.0,0.0
38.195,0.0,-0.07,-0.07
39.208,0.0,0.0,0.0
40.219,0.07,0.07,0.0
41.249,0.07,0.0,-0.07
42.261,0.0,0.07,0.07
43.275,-0.07,0.0,0.07
44.291,0.0,0.0,0.0
45.301,-0.07,-0.07,0.0
46.331,0.0,0.0,0.0
47.343,0.0,0.07,0.07
48.355,-0.07,0.15,0.22
49.384,-0.07,-0.07,0.0
50.395,0.07,0.0,-0.07
51.423,0.07,0.0,-0.07
52.447,-0.07,0.07,0.14
53.461,-0.07,0.07,0.14
54.475,0.07,0.07,0.0
55.500,-0.15,0.22,0.37
56.499,0.0,0.07,0.07
57.530,0.07,0.07,0.0
58.539,-0.07,0.07,0.14
59.563,0.0,0.07,0.07
60.581,0.0,0.07,0.07
61.592,-0.07,0.07,0.14
62.617,-0.07,0.0,0.07
63.640,0.07,-0.07,-0.14
64.648,-0.07,0.0,0.07
65.661,-0.07,0.0,0.07
66.693,-0.07,-0.07,0.0
67.697,0.0,0.07,0.07
68.710,0.0,0.07,0.07
69.729,0.0,-0.07,-0.07
70.751,0.0,-0.07,-0.07
71.778,-0.07,-0.07,0.0
72.807,-0.07,-0.07,0.0
73.804,0.0,-0.07,-0.07
74.820,0.0,0.0,0.0
75.837,-0.15,0.0,0.15
76.849,0.0,0.0,0.0
77.886,-0.07,-0.07,0.0
78.879,-0.07,-0.07,0.0
79.917,-0.07,0.07,0.14
80.930,0.0,0.07,0.07
81.947,-0.07,0.0,0.07
82.969,-0.07,0.07,0.14
83.995,0.0,0.0,0.0
84.996,-0.07,0.0,0.07
86.018,-0.07,0.0,0.07
87.047,-0.07,0.07,0.14
88.056,0.0,0.15,0.15
89.073,0.0,0.0,0.0
90.074,-0.07,0.0,0.07
91.107,-0.07,0.07,0.14
92.126,-0.15,0.0,0.15
93.127,0.0,0.0,0.0
94.161,-0.07,0.07,0.14
95.176,0.0,0.07,0.07
96.193,-0.07,-0.07,0.0
97.209,-0.07,-0.07,0.0
98.238,-0.15,-0.07,0.07999999999999999
99.237,-0.07,0.0,0.07
100.264,-0.07,0.0,0.07
101.290,0.0,0.0,0.0
102.289,0.0,0.0,0.0
103.326,-0.07,0.0,0.07
104.340,-0.07,0.07,0.14
105.350,-0.07,0.0,0.07
106.381,0.07,0.0,-0.07
